S/N,E-waste Collection Points,Collection Type,Location,Postal Code,Remarks,Website,
80,KEBUN BARU CC,1. Permanent E-bin,"ANG MO KIO AVENUE 4, GROUND FLOOR - OPPOSITE BURGER KING",569897,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
81,KENT RIDGE CAMPUS,1. Permanent E-bin,"27 SCIENCE DRIVE 1, KENT RIDGE CAMPUS, OUTSIDE LT27 AND LT29 STUDENT SPACE, LEVEL 1",117541,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
82,KENT RIDGE CAMPUS,1. Permanent E-bin,"12 KENT RIDGE CRES, KENT RIDGE CAMPUS, CENTRAL LIBRARY FORUM SPACE, LEVEL 1",119275,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
83,KITCHENER COMPLEX,1. Permanent E-bin,"809 FRENCH ROAD, KITCHENER COMPLEX, MAIN LOBBY",200808,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
84,LENG KEE CC,1. Permanent E-bin,400 LENGKOK BAHRU,159049,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
85,LOT ONE SHOPPERS' MALL,1. Permanent E-bin,"21 CHOA CHU KANG AVE 4, WALKWAY BESIDE MCDONALD'S, WALKWAY BESIDE MACDONALD'S",689812,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
86,LOYANG POINT,1. Permanent E-bin,"259 PASIR RIS STREET 21, LOYANG POINT, MAIN LOBBY (ATM AREA)",510258,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
87,MAPLETREE BUSINESS CITY,1. Permanent E-bin,10 PASIR PANJANG ROAD,117438,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
88,MARINA BAY FINANCIAL CENTRE TOWER 3,1. Permanent E-bin,"12 MARINA BOULEVARD, DROP-OFF DRIVEWAY",18982,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
89,MARINA BAY LINK MALL,1. Permanent E-bin,"8A MARINA BOULEVARD, #B2-10, NEAR 7-11",18984,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
90,MARINE PARADE CC,1. Permanent E-bin,"278 MARINE PARADE ROAD, MARINE PARADE CC, MAIN ENTRANCE",449282,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
92,MARYMOUNT CC,1. Permanent E-bin,"SIN MING AVE, MAIN LOBBY",575738,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
93,MOM SERVICES CENTRE,1. Permanent E-bin,"1500 BENDEMEER ROAD, MOM SERVICES CENTRE, LOBBY",339946,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
94,MSF BUILDING,1. Permanent E-bin,"512 THOMSON ROAD MSF BUILDING LOBBY, MAIN LOBBY",298136,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
95,NANYANG ACADEMY OF FINE ARTS,1. Permanent E-bin,"80 BENCOOLEN STREET, LEVEL 1 WING A, LIFT LOBBY",189655,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
