"""S/N""","""E-waste Collection Points""","""Collection Type""","""Location""","""Postal Code""","""poster""","""Remarks""","""Website""","""lat""","""lng"""
54,"""FUSIONOPOLIS ONE""","""1. Permanent E-bin""","""3 FUSIONOPOLIS WAY, BASEMENT 2 CONNEXIS""",138633,138633,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.299011321,103.7875672
55,"""GEK POH SHOPPING CENTRE""","""1. Permanent E-bin""","""762 JURONG WEST STREET 75, GEK POH SHOPPING CENTRE, PRIME SUPERMARKET ENTRANCE""",640762,640762,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.348743571,103.6977321
56,"""GERMAN CENTRE""","""1. Permanent E-bin""","""25 INTERNATIONAL BUSINESS PARK, MAIN LOBBY""",609916,609916,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.325199517,103.7463772
57,"""GREENRIDGE SHOPPING CENTRE""","""1. Permanent E-bin""","""524A JELAPANG ROAD, GREENRIDGE SHOPPING CENTRE, GROUND FLOOR - SECURITY COUNTER""",671524,671524,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.385405693,103.7662285
61,"""HDB HUB""","""1. Permanent E-bin""","""6 LORONG TOA PAYOH, HDB HUB, OPPOSITE OLD CHANG KEE""",310480,310480,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.332236224,103.8485739
62,"""HDB-POTONG PASIR""","""1. Permanent E-bin""","""121 POTONG PASIR AVENUE, HDB-POTONG PASIR, MAIN ENTRANCE""",350121,350121,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.335760292,103.865597
63,"""HEALTH SCIENCE AUTHORITY""","""1. Permanent E-bin""","""11 OUTRAM ROAD, LEVEL 1""",169078,169078,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.280448121,103.8385034
64,"""HEARTBEAT @ BEDOK (KAMPONG CHAI CHEE CC)""","""1. Permanent E-bin""","""11 BEDOK NORTH STREET 1, MAIN ATRIUM""",469662,469662,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.326864386,103.9321295
65,"""HEWLETT-PACKARD @ HP ENTERPRISE""","""1. Permanent E-bin""","""1 DEPOT CLOSE, HP ENTERPRISE""",109841,109841,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.282431349,103.8050324
66,"""HILLVIEW CC""","""1. Permanent E-bin""","""1 HILLVIEW RISE, HILLVIEW CC, MAIN LOBBY""",667970,667970,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.361943196,103.764297
67,"""HONG KAH NORTH CC""","""1. Permanent E-bin""","""30 BUKIT BATOK STREET 31, HONG KAH NORTH CC, REAR ENTRANCE""",659440,659440,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.359033397,103.7494868
68,"""HOUGANG CC""","""1. Permanent E-bin""","""35 HOUGANG AVENUE 3, MAIN ENTRANCE""",538840,538840,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.364751244,103.892728
69,"""I12 KATONG""","""1. Permanent E-bin""","""112 EAST COAST ROAD, I12 KATONG, B2 TRAVELLATOR""",428802,428802,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.305206536,103.9050461
70,"""ICA @ PASIR PANJANG TERMINAL BUILDING 3""","""1. Permanent E-bin""","""3 HARBOUR DRIVE, PASIR PANJANG TERMINAL BUILDING 3""",117404,117404,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.273665351,103.7927127
73,"""ITE COLLEGE CENTRAL""","""1. Permanent E-bin""","""2 ANG MO KIO DRIVE, ATRIUM LEVEL""",567720,567720,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.377892049,103.856412
74,"""ITE COLLEGE EAST""","""1. Permanent E-bin""","""10 SIMEI AVE, ITE COLLEGE EAST, #B1-14, ADMIN BUILDING LOBBY, CUSTOMER VISITOR CENTRE""",486047,486047,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.333447563,103.9553108
75,"""ITE COLLEGE WEST""","""1. Permanent E-bin""","""1 CHOA CHU KANG GROVE, ITE COLLEGE WEST, BLOCK 1, LEVEL 3 FOOD CANOPY""",688236,688236,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.374906509,103.7522337
76,"""JURONG SPRING CC""","""1. Permanent E-bin""","""8 JURONG WEST STREET 52, JURONG SPRING CC, LOBBY""",649296,649296,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.348330169,103.718179
77,"""KAMPONG GLAM CC""","""1. Permanent E-bin""","""385 BEACH ROAD, KAMPONG GLAM CC, MAIN LOBBY""",199581,199581,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.302795227,103.8635979
78,"""KAMPONG UBI INDUSTRIAL ESTATE BLOCK 3024A""","""1. Permanent E-bin""","""3024A UBI RD 1, PAVILION""",408718,408718,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.329859653,103.8960582
79,"""KEAT HONG CC""","""1. Permanent E-bin""","""2 CHOA CHU KANG LOOP, KEAT HONG CC, WALKWAY CORRIDOR""",689687,689687,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.384095872,103.7449494
80,"""KEBUN BARU CC""","""1. Permanent E-bin""","""ANG MO KIO AVENUE 4, GROUND FLOOR - OPPOSITE BURGER KING""",569897,569897,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.373007502,103.8376124
81,"""KENT RIDGE CAMPUS""","""1. Permanent E-bin""","""27 SCIENCE DRIVE 1, KENT RIDGE CAMPUS, OUTSIDE LT27 AND LT29 STUDENT SPACE, LEVEL 1""",117541,117541,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.295467181,103.779774
82,"""KENT RIDGE CAMPUS""","""1. Permanent E-bin""","""12 KENT RIDGE CRES, KENT RIDGE CAMPUS, CENTRAL LIBRARY FORUM SPACE, LEVEL 1""",119275,119275,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.296728869,103.7731518
83,"""KITCHENER COMPLEX""","""1. Permanent E-bin""","""809 FRENCH ROAD, KITCHENER COMPLEX, MAIN LOBBY""",200808,200808,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.308782165,103.8613785
84,"""LENG KEE CC""","""1. Permanent E-bin""","""400 LENGKOK BAHRU""",159049,159049,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.28955909,103.8146641
85,"""LOT ONE SHOPPERS' MALL""","""1. Permanent E-bin""","""21 CHOA CHU KANG AVE 4, WALKWAY BESIDE MCDONALD'S, WALKWAY BESIDE MACDONALD'S""",689812,689812,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.385068365,103.7449504
86,"""LOYANG POINT""","""1. Permanent E-bin""","""259 PASIR RIS STREET 21, LOYANG POINT, MAIN LOBBY (ATM AREA)""",510258,510258,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.367066342,103.9646356
87,"""MAPLETREE BUSINESS CITY""","""1. Permanent E-bin""","""10 PASIR PANJANG ROAD""",117438,117438,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.274915422,103.7991449
90,"""MARINE PARADE CC""","""1. Permanent E-bin""","""278 MARINE PARADE ROAD, MARINE PARADE CC, MAIN ENTRANCE""",449282,449282,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.30487639,103.9096402
92,"""MARYMOUNT CC""","""1. Permanent E-bin""","""SIN MING AVE, MAIN LOBBY""",575738,575738,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.362137572,103.8412862
93,"""MOM SERVICES CENTRE""","""1. Permanent E-bin""","""1500 BENDEMEER ROAD, MOM SERVICES CENTRE, LOBBY""",339946,339946,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.326294324,103.8690502
94,"""MSF BUILDING""","""1. Permanent E-bin""","""512 THOMSON ROAD MSF BUILDING LOBBY, MAIN LOBBY""",298136,298136,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.333650245,103.8394192
95,"""NANYANG ACADEMY OF FINE ARTS""","""1. Permanent E-bin""","""80 BENCOOLEN STREET, LEVEL 1 WING A, LIFT LOBBY""",189655,189655,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.299874147,103.8514658
96,"""NANYANG POLYTECHNIC, BLOCK E (NORTH CANTEEN)""","""1. Permanent E-bin""","""ANG MO KIO AVENUE 8, NANYANG POLYTECHNIC, BLOCK E (NORTH CANTEEN)""",569830,569830,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.380340899,103.8480833
97,"""NANYANG TECHNOLOGICAL UNIVERSITY HALL 6""","""1. Permanent E-bin""","""21 LIEN YING CHOW DRIVE, NANYANG TECHNOLOGICAL UNIVERSITY, HALL 6 BLOCK A""",637296,637296,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.348171832,103.6868043
98,"""NANYANG TECHNOLOGICAL UNIVERSITY NORTH SPINE PLAZA""","""1. Permanent E-bin""","""76 NANYANG DRIVE, SPIRAL STAIRCASE NEAR LECTURE THEATRE 1A""",637331,637331,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.347130489,103.6800338
99,"""NATIONAL PARKS BOARD HQ""","""1. Permanent E-bin""","""1 CLUNY ROAD, NATIONAL PARKS BOARD HQ, SINGAPORE BOTANIC GARDENS, NASSIM GATE INFO COUNTER""",259569,259569,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.322156643,103.8181859
100,"""NEE SOON CENTRAL CC""","""1. Permanent E-bin""","""1 NORTHPOINT DRIVE NEE SOON CENTRAL COMMUNITY CLUB, NEE SOON CENTRAL CC, INSIDE NORTHPOINT CITY""",768019,768019,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.428754606,103.8363245
101,"""NEE SOON EAST CC""","""1. Permanent E-bin""","""1 YISHUN AVENUE 9, NEE SOON EAST CC, MAIN LOBBY""",768893,768893,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.430771055,103.8385982
102,"""NEE SOON SOUTH CC""","""1. Permanent E-bin""","""30 YISHUN STREET 81, NEE SOON SOUTH CC, VOID DECK (TEMPORARY) CC UNDERGOING RENOVATION""",768455,768455,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.414973677,103.8348798
104,"""NG TENG FONG GENERAL HOSPITAL""","""1. Permanent E-bin""","""1 JURONG EAST STREET 21, NG TENG FONG GENERAL HOSPITAL, TOWER B, LEVEL 2""",609606,609606,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.335533826,103.7438655
105,"""NGEE ANN POLYTECHNIC, BLK 22""","""1. Permanent E-bin""","""535 CLEMENTI ROAD, NGEE ANN POLYCLINIC, BLK 22, FOODCOURT""",599489,599489,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.333784623,103.7752943
106,"""NOVENA SQUARE""","""1. Permanent E-bin""","""238 THOMSON ROAD, NOVENA SQUARE, LEVEL 3""",307683,307683,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.320211007,103.8436568
108,"""OASIS TERRACES""","""1. Permanent E-bin""","""681 PUNGGOL DRIVE, OASIS TERRACES, LVL 1 OPPOSITE ANYTIME FITNESS""",820681,820681,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.402780157,103.9132151
110,"""OUR TAMPINES HUB""","""1. Permanent E-bin""","""1 TAMPINES WALK, CENTRAL PLAZA (LIBRARY EXIT)""",528523,528523,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.353300307,103.9405254
111,"""PASIR RIS WEST PLAZA""","""1. Permanent E-bin""","""735 PASIR RIS STREET 72, PASIR RIS WEST PLAZA, MAIN ENTRANCE""",510735,510735,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.379848867,103.9367217
112,"""PASSION WAVE @ JURONG LAKE GARDENS""","""1. Permanent E-bin""","""100 YUAN CHING RD, RECEPTION""",618662,618662,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.339359562,103.7272995
113,"""PASSION WAVE @ MARINA BAY""","""1. Permanent E-bin""","""11 RHU CROSS, MAIN ENTRANCE""",437440,437440,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.294993278,103.8667755
114,"""PAYA LEBAR KOVAN CC""","""1. Permanent E-bin""","""207 HOUGANG STREET 21, MAIN ENTRANCE LOBBY""",530207,530207,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.35759831,103.8863135
115,"""PAYA LEBAR QUARTER (PLQ)""","""1. Permanent E-bin""","""10 PAYA LEBAR ROAD, PAYA LEBAR QUARTER (PLQ), LEVEL 1""",409057,409057,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.317561159,103.8928367
116,"""PAYA LEBAR SQUARE""","""1. Permanent E-bin""","""60 PAYA LEBAR RD, PAYA LEBAR SQUARE, LEVEL 2 CARPARK BESIDE OFFICE LIFT LOBBY 1""",409051,409051,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.31881487,103.8925808
117,"""PAYA LEBAR ZONE 5 RC""","""1. Permanent E-bin""","""116 HOUGANG AVENUE 1, PAYA LEBAR ZONE 5 RC, #01-1206, VOID DECK""",530116,530116,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.35313872,103.8877274
118,"""PINE CLOSE RC""","""1. Permanent E-bin""","""5 PINE CLOSE, #01-141, VOID DECK""",391005,391005,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.307043059,103.8826884
119,"""PIONEER MALL""","""1. Permanent E-bin""","""638 JURONG WEST STREET 61, PIONEER MALL, MAIN LOBBY NEAR MACDONALDS""",640638,640638,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.341673319,103.6972445
